provider name,role,states licensed,license expiry date,DEA expiry date,NPI,specialty,certifications,availability
Maria750 Nitzsche158,RN,MA|NY,2026-04-16,,7228200557,Certified Nurse Midwife,DEA(2026-05-05)|Board(2026-11-28),0.50
Houston994 Osinski784,MD,MA,2026-06-08,2026-07-30,9688457831,General Practice,Board(2026-05-15)|PALS(2026-07-30),0.65
Elza246 Schuppe920,NP,MA,2026-09-08,2026-03-25,7807740649,Pulmonary Disease,DEA(2026-09-04),0.50
Marisol435 Porras535,MD,MA,2026-07-05,2026-06-10,2663416389,General Practice,PALS(2026-09-24)|DEA(2026-06-01),0.50
Otto672 Dicki44,NP,MA,2026-04-27,2026-03-19,9749735020,Optometry,ACLS(2026-04-18),0.50
Jackie93 Franecki195,NP,MA|NJ,2026-06-04,2026-02-21,2073564757,Anesthesiology,PALS(2026-04-07),0.50
Antonette454 Langosh790,NP,MA,2026-08-29,,7234601367,General Practice,ACLS(2026-10-18),0.50
Luther918 Bogisich202,MD,MA|RI|NJ,2026-04-06,2026-06-20,4520881474,Clinical Social Worker,ACLS(2026-04-23),0.50
Alexander630 Bayer639,MD,MA,2026-05-06,2026-02-22,4916300979,Chiropractic,ACLS(2026-05-16),0.50
Buster609 Cormier289,MD,MA|RI,2026-05-09,,5281273585,Internal Medicine,ACLS(2026-09-06)|BLS(2026-08-27),0.50
Kraig824 Bernhard322,PA,MA|CT|ME,2026-06-16,2026-06-11,8739285574,Family Practice,BLS(2026-11-23),0.50
Wilfredo622 Heathcote539,MD,MA,2026-09-09,2026-04-27,7086209593,Physician Assistant,DEA(2026-09-11),0.50
Tabetha269 Moore224,MD,MA,2026-06-19,2026-07-10,4565118102,Allergy/Immunology,ACLS(2026-04-20),0.50
Rick943 Dietrich576,NP,MA|NY,2026-07-08,2026-08-02,789940539,Physical Therapy,Board(2026-04-06),0.50
Karolyn830 Altenwerth646,NP,MA|NH,2026-08-21,2026-06-05,094801413,Rheumatology,DEA(2026-09-10),0.50
Charlene806 Barrows492,NP,MA,2026-07-30,2026-04-23,2886195761,Internal Medicine,DEA(2026-09-18),0.50
Brittni468 Wilderman619,NP,MA|PA|ME,2026-07-15,2026-06-12,5855665939,Clinical Social Worker,DEA(2026-08-28)|PALS(2026-10-14),0.50
Joaquin141 Gulgowski816,RN,MA|VT,2026-02-12,,4908240433,Nurse Practitioner,PALS(2026-12-05),0.50
Mario764 Guerra754,NP,MA|CT|NH,2026-05-14,2026-03-30,5933441969,Clinical Social Worker,PALS(2026-10-30),0.50
Giselle809 Weber641,MD,MA,2026-08-07,2026-07-16,1940961055,Physician Assistant,Board(2026-06-21)|BLS(2026-03-02),0.50
Samuel331 Calderón210,MD,MA|VT|NH,2026-05-01,,8925832067,Psychiatry,ACLS(2026-10-04),0.50
Malinda718 Cassin499,NP,MA|VT,2026-05-09,2026-03-12,0864168622,General Practice,Board(2026-09-15),0.50
Felecia131 Braun514,MD,MA|NY|NJ,2026-08-19,2026-07-03,1465911665,Internal Medicine,PALS(2026-07-31)|BLS(2026-05-22),0.50
Elmira442 Zieme486,MD,MA|ME,2026-06-04,2026-03-02,3352110392,Internal Medicine,BLS(2026-04-22)|PALS(2026-07-31),0.50
Tona622 Purdy2,NP,MA|ME,2026-04-06,2026-07-06,8848792069,Internal Medicine,PALS(2026-05-23),0.50
Perry780 Wiegand701,NP,MA,2026-09-02,2026-07-27,7016451046,General Practice,DEA(2026-08-05)|BLS(2026-10-31),0.50
Corey514 Wiegand701,NP,MA|RI|ME,2026-06-09,2026-07-12,0038457620,General Practice,PALS(2026-06-25)|DEA(2026-11-08),0.50
Carmen818 Rosenbaum794,MD,MA|NH,2026-05-22,2026-02-26,4325621689,Internal Medicine,Board(2026-06-28),0.50
